Scheme_Name	Reaction_expression	Rank	Selectivity_Rule
Halogenated Aliphatics: Nucleophilic Substitution (no adjacent X)	"[#17,#35,#53:2]-[#6;X4;!$(CF);!$(C(Cl)Cl);!$(C(Cl)Br);!$(C(Cl)I);!$(C(Br)Br);!$(C(Br)I);!$(C(I)I)!$(CCF);!$(CCCl);!$(CCBr);!$(CCI):1]>>[#8]-[#6:1]"	3	atomicNumber(ratom(2))
Halogenated Aliphatics: Nucleophilic Substitution (vicinal X)	"[#17,#35,#53:4]-[#6;X4;!$(CF);!$(ClCCl);!$(ClCBr);!$(ClCI);!$(BrCBr);!$(BrCI);!$(ICI):3]-[#6:2]-[F,Cl,Br,I:1]>>[#8]-[#6:3]-[#6:2]-[F,Cl,Br,I:1]"	1	atomicNumber(ratom(4))
Halogenated Aliphatics: Nucleophilic Substitution (geminal X)	"[#17,#35,#53:3]-[#6;A:1]-[F,Cl,Br,I:2]>>[#8]-[#6;A:1]-[F,Cl,Br,I:2]"	1	atomicNumber(ratom(3))
Elimination	"[#6;A;h;X4:2]-[#6;A;X4:1]-[#17,#35,#53:3]>>[#6:1]=[#6:2]"	1	stericHindrance(ratom(2)); atomicNumber(ratom(3))
Epoxide Hydrolysis	"[#6;A:2]1[#6;A:3][#8:1]1>>[#8:1]-[#6;A:2]-[#6;A:3]-[#8]"	5	
Organophosphorus Ester Hydrolysis 1	"[#6:4]-[#7,#8,#16:3][P;D4:1](=[#8,#16:2])([#7,#8,#16:7]-[#6:8])[#7,#8,#16:5]-[#6:6]>>[#6:8]-[#7,#8,#16:7][P;D4:1]([#8])(=[#8,#16:2])[#7,#8,#16:5]-[#6:6].[#6:4]-[#7,#8,#16:3]"	3	electrophilicity(ratom(4))
Organophosphorus Ester Hydrolysis 2	"[#6:8]-[#7,#8,#16:7][P;D4:1](=[#8,#16:2])([#7,#8,#16:5]-[#6:6])[#7,#8,#16:3][#6;A:4]>>[#6:6]-[#7,#8,#16:5][P;D4:1]([#7,#8,#16:3])(=[#8,#16:2])[#7,#8,#16:7]-[#6:8].[#6;A:4][#8]"	3	(-electrophilicity(ratom(4)))
Carboxylic Acid Ester Hydrolysis	"[#6;!$(C=O):5]-[#8;!R:3]-[#6:1](-[!#7!#8:4])=[O:2]>>[#8]-[#6:1](-[!#7!#8:4])=[O:2].[#6:5]-[#8:3]"	2	
Anhydride Hydrolysis	"[#6:3]-[#6:2](=O)-[#8;!R:1]-[#6:4](-[#6:5])=O>>[#6:3]-[#6:2](-[#8:1])=O.[#6:5]-[#6:4](-[#8])=O"	7	
Amide Hydrolysis	"[#6:3]-[#6;!R:1](=[O:2])-[#7;X3:4]>>[#6:3]-[#6:1](-[#8])=[O:2].[#7:4]"	1	
Carbamate Hydrolysis	"[#6,#7:2]-[#7;H1D2:1]-[#6](=O)-[#8:3]-[#6,#7:4]>>[#7:1]-[#6,#7:2].[#8:3]-[#6,#7:4]"	3	
Urea Hydrolysis	"[#7;X3;!$(NS):1]-[#6;!R](=O)-[#7;X3;!$(NS):2]>>[#7:1].[#7:2]"	2	
Sulfonylurea Hydrolysis	"[#7;X3;!$(NS);!$(NO):4]-[#6](=O)-[#7;H1D2:1]-[#16:2](=O)(=O)-[#6,#7:3]>>[#7:1]-[#16:2](=O)(=O)-[#6,#7:3].[#7:4]"	2	
Carbonate Hydrolysis	"[#6:2]-[#8:1]-[#6;!R:5](=O)-[#8:3]-[#6:4]>>[#6:2]-[#8:1].[#6:4]-[#8:3]"	3	
